customer_id,RECENCY,FREQUENCY,MONETARY,r_score,f_score,m_score,r_rank,f_rank,m_rank,Segmentation
49739,84,11,2010878,0.580947955,0.367193309,0.346933086,3,2,2,Potential Customers
40748,7,2,2009729,0.210966543,0.719795539,0.347026022,1,3,2,Potential Customers
4239,348,5,2008875,0.814126394,0.528066914,0.347118959,4,3,2,Lost Customers
11838,12,11,2005499,0.292936803,0.367193309,0.347211896,2,2,2,Loyal Customers
57341,0,7,2005000,0,0.453345725,0.347304833,1,2,2,VIP Customers
42473,6,4,2005000,0.184572491,0.578624535,0.347304833,1,3,2,Potential Customers
27627,454,3,2005000,0.876301115,0.647769517,0.347304833,4,3,2,Lost Customers
43521,223,5,2002858,0.718959108,0.528066914,0.347583643,3,3,2,Lost Customers
53408,9,6,2001835,0.24972119,0.486431227,0.34767658,1,2,2,VIP Customers
51533,10,10,2000900,0.266914498,0.38429368,0.347769517,2,2,2,Loyal Customers
26067,252,11,2000000,0.73169145,0.367193309,0.347862454,3,2,2,Potential Customers
37725,19,3,2000000,0.364405204,0.647769517,0.347862454,2,3,2,New Customers
33861,46,3,2000000,0.500464684,0.647769517,0.347862454,3,3,2,Lost Customers
17241,232,3,2000000,0.72295539,0.647769517,0.347862454,3,3,2,Lost Customers
39960,15,2,2000000,0.323327138,0.719795539,0.347862454,2,3,2,New Customers
48760,49,2,2000000,0.508921933,0.719795539,0.347862454,3,3,2,Lost Customers
25529,255,1,2000000,0.733828996,0.823977695,0.347862454,3,4,2,Lost Customers
17019,690,1,2000000,0.978996283,0.823977695,0.347862454,4,4,2,Lost Customers
13253,59,49,1999800,0.53866171,0.141728625,0.348605948,3,1,2,Loyal Customers
27754,24,12,1999294,0.408457249,0.349907063,0.348698885,2,2,2,Loyal Customers
38031,306,3,1998250,0.755111524,0.647769517,0.348791822,4,3,2,Lost Customers
54866,6,24,1997081,0.184572491,0.234758364,0.348884758,1,1,2,VIP Customers
26285,358,10,1996000,0.820260223,0.38429368,0.348977695,4,2,2,Potential Customers
24341,535,4,1993330,0.904925651,0.578624535,0.349070632,4,3,2,Lost Customers
9465,72,10,1993200,0.557434944,0.38429368,0.349163569,3,2,2,Potential Customers
12360,705,30,1993200,0.986802974,0.206319703,0.349163569,4,1,2,Potential Customers
5964,50,11,1990100,0.513104089,0.367193309,0.349349442,3,2,2,Potential Customers
10638,647,17,1988450,0.941356877,0.290334572,0.349442379,4,2,2,Potential Customers
28686,230,13,1988150,0.721747212,0.335130112,0.349535316,3,2,2,Potential Customers
56590,20,24,1986550,0.378717472,0.234758364,0.349628253,2,1,2,VIP Customers
2558,168,4,1985000,0.694052045,0.578624535,0.34972119,3,3,2,Lost Customers
47798,15,30,1982312,0.323327138,0.206319703,0.349814126,2,1,2,VIP Customers
48172,90,20,1980000,0.594052045,0.262453532,0.349907063,3,2,2,Potential Customers
1580,552,16,1978890,0.91105948,0.299814126,0.35,4,2,2,Potential Customers
16988,526,5,1975000,0.902695167,0.528066914,0.350092937,4,3,2,Lost Customers
8762,349,22,1974386,0.814869888,0.247118959,0.350185874,4,1,2,Potential Customers
41034,24,13,1973367,0.408457249,0.335130112,0.35027881,2,2,2,Loyal Customers
41438,101,6,1972755,0.609665428,0.486431227,0.350371747,3,2,2,Potential Customers
37166,15,12,1971269,0.323327138,0.349907063,0.350464684,2,2,2,Loyal Customers
31491,280,6,1970800,0.743494424,0.486431227,0.350557621,3,2,2,Potential Customers
21623,3,11,1969059,0.117193309,0.367193309,0.350650558,1,2,2,VIP Customers
47588,17,11,1966145,0.345167286,0.367193309,0.350743494,2,2,2,Loyal Customers
20249,36,19,1964700,0.466821561,0.27035316,0.350836431,2,2,2,Loyal Customers
22938,15,18,1962500,0.323327138,0.279739777,0.350929368,2,2,2,Loyal Customers
24778,163,19,1961142,0.691078067,0.27035316,0.351022305,3,2,2,Potential Customers
3997,82,9,1958750,0.576301115,0.405947955,0.351115242,3,2,2,Potential Customers
3955,77,8,1958500,0.56598513,0.426858736,0.351208178,3,2,2,Potential Customers
21802,76,15,1957400,0.564498141,0.310687732,0.351301115,3,2,2,Potential Customers
20807,536,9,1957323,0.905204461,0.405947955,0.351394052,4,2,2,Potential Customers
1805,270,14,1957200,0.739498141,0.322026022,0.351486989,3,2,2,Potential Customers
40216,15,10,1956600,0.323327138,0.38429368,0.351579926,2,2,2,Loyal Customers
40334,50,5,1956000,0.513104089,0.528066914,0.351672862,3,3,2,Lost Customers
48165,25,17,1955350,0.414962825,0.290334572,0.351765799,2,2,2,Loyal Customers
41226,2,6,1955000,0.088197026,0.486431227,0.351858736,1,2,2,VIP Customers
1896,5,17,1953246,0.163754647,0.290334572,0.351951673,1,2,2,VIP Customers
17365,683,6,1950000,0.973048327,0.486431227,0.35204461,4,2,2,Potential Customers
